keyword,intent,niche,url_count,total_sessions,avg_sessions,total_clicks,avg_ctr,potential,best_url,best_clicks
living room trends,room-ideas,Home Decor,1,5886,5886,168,2.85,2.94,minoradesign.com/2026-living-room-trends/,168
fake outdoor plants landscaping,general,Garden/Outdoor,1,381,381,135,35.43,22.96,floramood.com/fake-outdoor-plants-landscaping/,135
cool backyard,room-ideas,Garden/Outdoor,1,926,926,103,11.12,8.28,lawnoria.com/cool-backyard/,103
beat out of waste craft ideas,diy-craft,Wedding/Craft,1,1936,1936,72,3.72,4.46,diyvera.com/beat-out-of-waste-craft-ideas/,72
vintage tiki,general,Home Decor,1,347,347,70,20.17,14.01,retrofyra.com/vintage-tiki/,70
cheap wedding ideas,wedding-event,Wedding/Craft,1,720,720,63,8.75,9.12,marryza.com/cheap-wedding-ideas/,63
sugar free pudding pie recipes,food-baking,Food/Recipe,1,1312,1312,62,4.73,15.5,piejourney.com/sugar-free-pudding-pie-recipes/,62
vintage junk journal ideas,general,Wedding/Craft,1,1044,1044,62,5.94,6.54,diyvera.com/vintage-junk-journal-ideas/,62
fake window ideas,general,Home Decor,1,303,303,60,19.8,13.44,curtainza.com/fake-window-ideas/,60
rv storage ideas,general,Home Decor,2,281,141,55,19.57,11.5,organizaspace.com/rv-storage-ideas/,35
baking business ideas,food-baking,Food/Recipe,1,357,357,49,13.73,36.85,vinainvesting.com/baking-business-ideas/,49
ikea hack kids,general,Home Decor,1,823,823,49,5.95,4.74,kidlura.com/ikea-hack-kids/,49
full sun tropical plants,general,Garden/Outdoor,1,491,491,45,9.16,6.19,floramood.com/full-sun-tropical-plants/,45
farmers market flower display,general,Garden/Outdoor,1,345,345,45,13.04,8.31,blosmia.com/farmers-market-flower-display/,45
bathroom runner rug ideas,product-specific,Home Decor,1,122,122,44,36.07,20.6,elsiedecor.com/bathroom-runner-rug-ideas/,44
high tea menu ideas,general,Food/Recipe,1,1459,1459,42,2.88,9.58,brewnora.com/high-tea-menu-ideas/,42
cheap ceiling ideas,general,Home Decor,1,767,767,41,5.35,4.22,ceiloria.com/cheap-ceiling-ideas/,41
metal bird cage decor ideas,wedding-event,Home Decor,1,620,620,40,6.45,4.92,metacraftera.com/metal-bird-cage-decor-ideas/,40
raspberry trellis ideas,general,Garden/Outdoor,2,474,237,39,8.23,4.91,blossivio.com/raspberry-trellis-ideas/,23
window valance ideas,general,Home Decor,1,228,228,39,17.11,11.04,curtainza.com/window-valance-ideas/,39
backyard waterfall ideas diy,room-ideas,Home Decor,1,398,398,39,9.8,6.97,rugsora.com/backyard-waterfall-ideas-diy/,39
best chrome spray paint,diy-craft,Home Decor,1,194,194,38,19.59,12.26,homeypaint.com/best-chrome-spray-paint/,38
fabric ceiling,general,Home Decor,1,533,533,38,7.13,5.32,ceiloria.com/fabric-ceiling/,38
handmade chicken decor ideas,diy-craft,Home Decor,1,340,340,38,11.18,7.74,artelierahome.com/handmade-chicken-decor-ideas/,38
wedding guest outfit indian,outfit-style,Wedding/Craft,1,216,216,36,16.67,14.2,marryza.com/wedding-guest-outfit-indian/,36
deck covers ideas patio shade,room-ideas,Garden/Outdoor,1,106,106,35,33.02,16.82,softlyoutdoor.com/deck-covers-ideas-patio-shade/,35
farmhouse interior doors,general,Home Decor,1,545,545,35,6.42,4.8,farmsteadra.com/farmhouse-interior-doors/,35
things to sell for a small business,general,Food/Recipe,1,543,543,34,6.26,18,vinainvesting.com/things-to-sell-for-a-small-business/,34
plants that deer will not eat,general,Garden/Outdoor,1,1294,1294,33,2.55,1.99,floramood.com/plants-that-deer-will-not-eat/,33
handmade market stall decor,diy-craft,Home Decor,1,330,330,33,10,6.89,artelierahome.com/handmade-market-stall-decor/,33
spiller plants for containers,general,Garden/Outdoor,1,834,834,32,3.84,2.82,floramood.com/spiller-plants-for-containers/,32
entryway wall ideas,room-ideas,Home Decor,2,849,425,32,3.77,2.71,artwallia.com/entryway-wall-ideas/,29
mini tarts dessert easy recipes,food-baking,Food/Recipe,2,1178,589,31,2.63,7.66,brewnora.com/mini-tarts-dessert-easy-recipes/,28
faux plants for outdoor planters,general,Garden/Outdoor,1,112,112,30,26.79,13.81,floramood.com/faux-plants-for-outdoor-planters/,30
small kids room,general,Home Decor,1,504,504,30,5.95,4.4,kidlura.com/small-kids-room/,30
rustic garden fence ideas,room-ideas,Garden/Outdoor,1,978,978,30,3.07,2.3,blosmia.com/rustic-garden-fence-ideas/,30
door window covering ideas,general,Home Decor,1,94,94,30,31.91,17.25,curtainza.com/door-window-covering-ideas/,30
linen pants outfit,outfit-style,Styling,1,139,139,29,20.86,14.29,stylingradar.com/linen-pants-outfit/,29
garden waterfall ideas,room-ideas,Garden/Outdoor,1,115,115,28,24.35,12.62,moonlightyard.com/garden-waterfall-ideas/,28
tv cabinet design for living room,product-specific,Home Decor,1,262,262,28,10.69,7.07,homezae.com/tv-cabinet-design-for-living-room/,28
french tea party recipes,food-baking,Food/Recipe,1,954,954,27,2.83,8.86,jokesfordays.com/french-tea-party-recipes/,27
